[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 17:34:15
Order : 16
Analyse step ID : 13073

[SAMPLE]
Sample Name : H6-1-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	15357.9367750077	321898.744719734	432658.579738826	251504.560915929	202602.357693961	102362.079523327	418272.249231902	228075.202794212	214257.434942398	148437.028814226	394790.047382882	346926.769192915	483395.661582633	117014.315270608	30506.3493217541	144976.447393617	158747.662534216	141645.07253614
1	15382.0560318196	321898.744719734	432658.579738826	251626.237046028	202602.357693961	102362.079523327	418479.622682191	228075.202794212	214257.434942398	148356.487832775	394997.068907467	347134.63424336	483602.506110482	117054.88888894	30506.3493217541	145057.259237204	158747.662534216	141709.33981043
2	15369.9964034137	321898.744719734	432658.579738826	251504.560915929	202602.357693961	102301.149714087	418686.996132479	228075.202794212	214337.952580482	148437.028814226	394997.068907467	347342.499293805	483809.35063833	117054.88888894	30546.8086709872	145057.259237204	158747.662534216	141709.33981043
3	15369.9964034137	321898.744719734	433148.566805347	251504.560915929	202724.113918537	102423.009332567	418894.369582768	228075.202794212	214337.952580482	148437.028814226	395204.090432051	347550.36434425	484223.039694028	117095.462507273	30546.8086709872	145138.07108079	158811.906833097	141709.33981043
4	15388.0858460226	323727.714860187	440988.359869698	252477.969956726	205524.507083778	104860.20170217	419101.743033056	228075.202794212	214337.952580482	148437.028814226	395411.111956636	347550.36434425	484223.039694028	117136.036125605	30567.0383456038	145138.07108079	158811.906833097	141709.33981043
5	15442.3541738495	328604.968568062	447848.178801004	255641.549339316	209055.437596473	107602.043117973	418686.996132479	228155.652601194	214418.470218567	148356.487832775	395411.111956636	347758.229394695	484429.884221877	117176.609743937	30577.1531829121	145138.07108079	158811.906833097	141709.33981043
6	15490.5926874734	332872.565562452	451278.088266657	258805.128721906	211247.049638836	109673.656632136	411843.672272959	227672.953759302	214418.470218567	147148.373111009	395618.13348122	347758.229394695	484636.728749726	117217.18336227	30587.2680202203	145218.882924376	158811.906833097	141709.33981043
