[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 19:21:01
Order : 28
Analyse step ID : 13085

[SAMPLE]
Sample Name : H7-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	15761.9343266078	322752.264118612	435108.515071435	252234.617696527	203576.407490567	102544.868951047	436935.859757867	231051.845652549	218283.316846614	149967.307461795	414871.135267591	357112.156664726	490221.531001643	119529.879607216	32084.2639418449	147966.485606306	160610.747201757	143316.021667691
1	15767.9641408108	322630.332775916	435108.515071435	252234.617696527	203576.407490567	102605.798760287	436935.859757867	231051.845652549	218363.834484699	149967.307461795	414871.135267591	357112.156664726	490428.375529492	119570.453225548	32084.2639418449	148047.297449892	160610.747201757	143316.021667691
2	15767.9641408108	322630.332775916	435108.515071435	252234.617696527	203576.407490567	102544.868951047	437350.606658444	231051.845652549	218363.834484699	149967.307461795	415078.156792175	357320.021715171	490842.064585189	119611.026843881	32114.6084537697	148047.297449892	160610.747201757	143316.021667691
3	15767.9641408108	323239.9894894	439763.392203393	252477.969956726	205159.238410051	103946.254563569	437557.980108733	231051.845652549	218444.352122783	149967.307461795	415285.17831676	357527.886765616	491048.909113038	119611.026843881	32124.723291078	148128.109293479	160546.502902876	143316.021667691
4	15804.1430260287	327385.655141093	447603.185267743	255033.168688818	208690.168922746	106749.025788612	437557.980108733	231051.845652549	218444.352122783	149967.307461795	415492.199841345	357527.886765616	491048.909113038	119651.600462213	32124.723291078	148128.109293479	160546.502902876	143316.021667691
5	15846.3517254496	332019.046163574	451768.075333179	258440.100331608	211368.805863412	109003.428730495	434862.125254982	231051.845652549	218524.869760867	149564.60255454	415699.221365929	357735.751816061	491462.598168736	119692.174080545	32134.8381283862	148208.921137065	160546.502902876	143316.021667691
6	15876.5007964646	335676.98644448	453973.017132528	260995.2990637	212829.88055832	110587.603770737	420760.730635364	229281.949898944	218363.834484699	146584.586240852	415492.199841345	357735.751816061	491462.598168736	119692.174080545	32165.1826403111	148289.732980651	160546.502902876	143316.021667691
