[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 23:11:40
Order : 10
Analyse step ID : 13106

[SAMPLE]
Sample Name : Q14-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	14972.0286660165	327995.311854578	445888.230534917	255763.225469416	206498.556880384	104068.114182049	443364.436716811	234269.837931833	221020.916541481	152061.372979522	416734.328988852	361893.052824964	474294.502357286	120463.072828861	31366.1104929574	148855.415885754	162730.80906482	145244.039896405
1	14978.0584802195	327995.311854578	445888.230534917	255884.901599515	206376.800655808	104007.184372809	443571.810167099	234269.837931833	221020.916541481	152061.372979522	416734.328988852	362100.917875409	474708.191412983	120503.646447193	31386.340167574	148936.22772934	162730.80906482	145244.039896405
2	14978.0584802195	327873.380511881	445643.237001656	255884.901599515	206376.800655808	104007.184372809	443779.183617388	234269.837931833	221101.434179566	152061.372979522	416941.350513437	362308.782925854	474915.035940832	120503.646447193	31396.4550048822	149017.039572927	162730.80906482	145244.039896405
3	14978.0584802195	327873.380511881	448093.172334265	255763.225469416	206985.581778686	104555.55265597	443986.557067676	234189.388124851	221101.434179566	152061.372979522	416941.350513437	362308.782925854	475121.880468681	120544.220065526	31426.7995168071	148936.22772934	162730.80906482	145244.039896405
4	14990.1181086255	333360.29093324	472837.51919362	258440.100331608	214534.46770238	109856.446059856	444193.930517965	234189.388124851	221101.434179566	152061.372979522	417148.372038022	362516.647976299	475328.72499653	120584.793683858	31447.0291914236	149017.039572927	162730.80906482	145244.039896405
5	15014.2373654374	347016.601315289	492926.988921018	267809.162349279	223544.428320981	115827.567365384	443571.810167099	234189.388124851	221181.95181765	151980.83199807	417355.393562606	362724.513026744	475535.569524378	120584.793683858	31457.1440287319	149017.039572927	162730.80906482	145244.039896405
6	15020.2671796404	358965.872899582	502971.723784716	276691.519846552	228658.189753161	119970.794393709	431544.150050366	233545.789668994	221181.95181765	150128.389424697	417355.393562606	362724.513026744	475742.414052227	120625.36730219	31447.0291914236	149097.851416513	162730.80906482	145244.039896405
