[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:11:58
Order : 37
Analyse step ID : 13133

[SAMPLE]
Sample Name : T23-1-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13181.1738477294	349762.036690974	482392.266990797	270607.71334157	216360.811071015	106992.745025573	415783.76782844	229121.050284979	214982.093685157	148839.733721481	388993.444694512	344432.388587573	433339.285843224	116568.005468952	27623.6206888961	143925.893426997	159775.571316308	142609.081650496
1	13181.1738477294	349762.036690974	482147.273457536	270607.71334157	216360.811071015	106931.815216333	415991.141278729	229121.050284979	215062.611323241	148839.733721481	389200.466219097	344432.388587573	433546.130371073	116608.579087284	27643.8503635126	143925.893426997	159775.571316308	142609.081650496
2	13193.2334761354	349762.036690974	482147.273457536	270486.037211471	216360.811071015	106992.745025573	416198.514729017	229121.050284979	215062.611323241	148839.733721481	389407.487743682	344640.253638018	433959.819426771	116649.152705616	27653.9652008209	144006.705270583	159775.571316308	142609.081650496
3	13193.2334761354	349762.036690974	484842.202323406	270486.037211471	217091.348418469	107602.043117973	416405.888179306	229121.050284979	215143.128961325	148920.274702932	389407.487743682	344848.118688464	433959.819426771	116649.152705616	27664.0800381292	144087.517114169	159775.571316308	142609.081650496
4	13199.2632903384	354640.168304516	504931.672050804	272919.559813463	223300.91587183	112293.638429459	416613.261629594	229121.050284979	215143.128961325	148839.733721481	389614.509268266	344848.118688464	434166.66395462	116689.726323949	27684.3097127457	144087.517114169	159775.571316308	142609.081650496
5	13235.4421755563	365372.057854309	519876.277579721	280341.80374954	230119.264448069	117046.163550185	415991.141278729	229121.050284979	215223.64659941	148839.733721481	389614.509268266	345055.983738909	434373.508482468	116730.299942281	27704.5393873623	144168.328957755	159775.571316308	142609.081650496
6	13259.5614323682	374640.507920039	526981.090044289	287033.99090502	234015.463634491	120397.303058389	405622.468764304	228477.451829123	215223.64659941	147067.832129558	389821.530792851	345055.983738909	434580.353010317	116770.873560614	27714.6542246705	144168.328957755	159839.815615188	142609.081650496
