[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 06:27:45
Order : 59
Analyse step ID : 13155

[SAMPLE]
Sample Name : T29-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13132.9353341055	355859.701207902	491457.027721452	275109.730155256	220013.497808286	108515.990256575	407903.576717477	224857.210514929	211358.799971362	146101.340352146	383817.906579897	337913.393190961	422997.059450785	115837.680338969	27390.9794308058	141905.597337342	156627.600671153	139781.321581717
1	13132.9353341055	355859.701207902	491212.034188191	274988.054025157	219891.74158371	108394.130638094	407903.576717477	224857.210514929	211439.317609446	146101.340352146	384024.928104481	338121.275930543	423203.903978633	115878.253957301	27411.2091054223	141986.409180928	156627.600671153	139845.588856007
2	13126.9055199025	355859.701207902	491457.027721452	274988.054025157	220013.497808286	108515.990256575	408318.323618054	224857.210514929	211439.317609446	146101.340352146	384231.949629066	338225.217300334	423617.593034331	115918.827575633	27401.0942681141	141986.409180928	156627.600671153	139781.321581717
3	13126.9055199025	358054.860433996	506401.633250369	275839.786935854	224153.20944386	111623.410527818	408525.697068343	224857.210514929	211439.317609446	146101.340352146	384438.971153651	338225.217300334	423617.593034331	115918.827575633	27441.5536173471	142067.221024515	156691.844970034	139781.321581717
4	13169.1142193234	367567.217080403	524531.154711679	281923.593440836	231458.582918402	116619.654885505	408525.697068343	224857.210514929	211519.835247531	146101.340352146	384438.971153651	338433.100039917	423617.593034331	115959.401193966	27451.6684546554	142067.221024515	156691.844970034	139781.321581717
5	13187.2036619324	377323.480307488	533595.915442334	289102.485116714	236085.319452278	120153.583821429	403548.734261419	224696.310900965	211519.835247531	145376.471519087	384645.992678235	338537.041409708	424031.282090029	115999.974812298	27471.898129272	142148.032868101	156627.600671153	139781.321581717
6	13199.2632903384	384640.677727801	538495.786107553	294091.206450798	238763.956392944	122651.706000272	383226.136133146	221719.668042628	211197.764695193	140705.094594928	384438.971153651	338537.041409708	424238.126617878	115999.974812298	27482.0129665802	142148.032868101	156627.600671153	139717.054307426
