[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 17:43:07
Order : 17
Analyse step ID : 13074

[SAMPLE]
Sample Name : H6-1-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	15532.8013868943	320557.499950069	431433.612072521	250531.151875132	202115.332795659	101996.500667886	428848.295196616	228960.150671015	216270.375894506	148759.19274003	404520.059038359	353370.585756714	492083.131752282	118474.965530574	31447.0291914236	146835.1197961	159197.372626381	142094.943456173
1	15532.8013868943	320557.499950069	431188.61853926	250652.828005231	202115.332795659	101935.570858646	429055.668646904	228960.150671015	216270.375894506	148839.733721481	404727.080562944	353578.450807159	492496.82080798	118515.539148906	31487.4885406567	146915.931639686	159261.616925262	142030.676181882
2	15532.8013868943	320557.499950069	431433.612072521	250652.828005231	202237.089020234	102057.430477127	429263.042097193	228960.150671015	216350.89353259	148839.733721481	404727.080562944	353578.450807159	492496.82080798	118556.112767239	31487.4885406567	146915.931639686	159197.372626381	142094.943456173
3	15538.8312010973	320435.568607372	431678.605605782	250531.151875132	202237.089020234	101996.500667886	429470.415547481	229040.600477997	216431.411170675	148839.733721481	404934.102087529	353786.315857604	492703.665335828	118596.686385571	31497.603377965	146915.931639686	159261.616925262	142030.676181882
4	15544.8610153003	322020.676062431	439273.405136871	251261.20865573	204915.7259609	104372.763228249	429677.78899777	229040.600477997	216431.411170675	148839.733721481	405141.123612113	353994.180908049	492703.665335828	118596.686385571	31507.7182152733	146996.743483272	159197.372626381	142030.676181882
5	15593.0995289242	327019.861113003	446623.211134699	254546.464168419	208568.412698171	107297.394071773	429470.415547481	229040.600477997	216511.928808759	148759.19274003	405348.145136698	354202.045958494	493117.354391526	118637.260003903	31507.7182152733	147077.555326858	159197.372626381	142094.943456173
6	15647.3678567511	331531.320792787	450053.120600353	258075.071941309	210881.780965109	109490.867204416	423041.838588538	228718.801250069	216511.928808759	147792.700962618	405348.145136698	354409.911008939	493117.354391526	118677.833622236	31527.9478898898	147077.555326858	159197.372626381	142094.943456173
