[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:05:32
Order : 33
Analyse step ID : 13090

[SAMPLE]
Sample Name : H8-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	16123.723178787	320679.431292766	432168.592672304	251017.85639553	202967.626367688	102423.009332567	446475.038471138	232178.142950299	219732.634332132	150611.635313403	424394.125398483	362932.378077189	496220.022309258	120747.088157188	33398.3560942746	149501.910634444	160996.212995041	143637.358039143
1	16129.75299299	320679.431292766	432168.592672304	251139.53252563	202967.626367688	102362.079523327	446682.411921427	232178.142950299	219732.634332132	150611.635313403	424601.146923068	363140.243127635	496426.866837107	120787.66177552	33418.5607864067	149501.910634444	160931.96869616	143637.358039143
2	16123.723178787	320679.431292766	431923.599139043	251139.53252563	202967.626367688	102423.009332567	446889.785371715	232178.142950299	219732.634332132	150611.635313403	424808.168447653	363348.10817808	496840.555892804	120828.235393852	33418.5607864067	149582.72247803	160996.212995041	143701.625313434
3	16135.782807193	320801.362635462	433883.54740513	251139.53252563	203576.407490567	102788.588188007	447097.158822004	232178.142950299	219813.151970217	150611.635313403	424808.168447653	363348.10817808	496840.555892804	120868.809012185	33438.7654785387	149582.72247803	160996.212995041	143701.625313434
4	16147.842435599	323483.852174794	442458.321069263	252599.646086825	206742.069329535	105225.78055761	447304.532272292	232258.592757281	219813.151970217	150611.635313403	425015.189972237	363348.10817808	497047.400420653	120868.809012185	33438.7654785387	149582.72247803	160996.212995041	143701.625313434
5	16214.1703918318	328117.243197275	447603.185267743	255884.901599515	209785.974943928	107541.113308733	446475.038471138	232178.142950299	219893.669608301	150531.094331952	425015.189972237	363555.973228525	497254.244948502	120909.382630517	33458.9701706708	149663.534321616	160996.212995041	143765.892587724
6	16250.3492770498	332019.046163574	450543.107666874	258805.128721906	211734.074537139	109247.147967455	436935.859757867	231454.09468746	219893.669608301	148759.19274003	425222.211496822	363763.83827897	497461.089476351	120949.956248849	33458.9701706708	149663.534321616	160996.212995041	143701.625313434
