[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:58:55
Order : 39
Analyse step ID : 13096

[SAMPLE]
Sample Name : Q10-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12421.4172581531	349274.22352962	480922.305791231	269999.332691072	216117.298621864	105530.429603811	406659.336015746	230649.596617639	213854.846751976	150289.471387599	378849.389989866	340304.044696157	440578.844317932	114620.471788997	26743.6298430762	142713.715773204	162216.854673774	144729.901702081
1	12427.447072356	349518.130110297	480677.31225797	269999.332691072	215995.542397288	105469.499794571	406866.709466035	230649.596617639	213854.846751976	150289.471387599	379056.41151445	340407.986065948	440992.53337363	114661.045407329	26733.515005768	142713.715773204	162216.854673774	144729.901702081
2	12433.476886559	349274.22352962	480922.305791231	269999.332691072	216117.298621864	105530.429603811	407074.082916323	230730.046424621	213935.364390061	150289.471387599	379263.433039035	340482.952629116	440992.53337363	114661.045407329	26763.8595176928	142713.715773204	162152.610374894	144729.901702081
3	12433.476886559	351225.476175037	494641.943653844	270729.38947167	219891.74158371	108698.779684295	407488.8298169	230730.046424621	213935.364390061	150289.471387599	379263.433039035	340690.817679561	441199.377901479	114701.619025662	26784.0891923093	142794.52761679	162152.610374894	144729.901702081
4	12469.655771777	360981.739402121	513751.439248198	276691.519846552	227562.383731979	114304.322134382	407488.8298169	230730.046424621	213935.364390061	150289.471387599	379470.45456362	340898.682730006	441406.222429327	114742.192643994	26773.9743550011	142875.339460377	162152.610374894	144729.901702081
5	12523.9240996038	370981.909209883	523061.193512114	284235.439912728	232432.632715007	118325.689544227	401682.373208822	230408.247196693	214015.882028145	149403.520591638	379677.476088204	341106.547780451	441613.066957176	114782.766262326	26784.0891923093	142875.339460377	162216.854673774	144729.901702081
6	12554.0731706188	378543.013210873	528451.051243854	289345.837376913	235233.025880248	121189.39057851	376382.812273626	226627.106268535	213613.293837723	143282.406001361	379470.45456362	340898.682730006	441819.911485025	114782.766262326	26794.2040296176	142875.339460377	162152.610374894	144729.901702081
