[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 00:58:28
Order : 22
Analyse step ID : 13118

[SAMPLE]
Sample Name : T18-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	12861.5936949711	347810.784045557	479942.331658188	268904.247520175	214534.46770238	106444.376742412	416613.261629594	231775.893915388	216350.89353259	150692.176294854	387958.337071589	346095.308991134	434373.508482468	116486.858232287	26905.4672400086	144653.200019273	162024.121777132	144601.3671535
1	12867.6235091741	347810.784045557	479942.331658188	268782.571390076	214534.46770238	106505.306551652	416820.635079883	231775.893915388	216350.89353259	150692.176294854	388165.358596174	346095.308991134	434580.353010317	116486.858232287	26905.4672400086	144653.200019273	162024.121777132	144601.3671535
2	12873.6533233771	347810.784045557	479942.331658188	268904.247520175	214656.223926955	106505.306551652	417235.38198046	231856.34372237	216431.411170675	150692.176294854	388165.358596174	346303.174041579	434787.197538166	116527.431850619	26905.4672400086	144734.011862859	162088.366076013	144665.634427791
3	12879.6831375801	347810.784045557	482392.266990797	268904.247520175	215265.005049834	106931.815216333	417235.38198046	231856.34372237	216511.928808759	150692.176294854	388372.380120758	346511.039092025	434994.042066015	116568.005468952	26956.04142655	144734.011862859	162024.121777132	144601.3671535
4	12885.7129517831	351957.195917068	497581.866052975	270729.38947167	220135.254032862	110648.533579977	417650.128881037	231856.34372237	216511.928808759	150692.176294854	388579.401645343	346718.90414247	435200.886593864	116608.579087284	26945.9265892417	144814.823706445	162088.366076013	144665.634427791
5	12933.9514654069	360006.113079413	508361.581516457	276569.843716452	225127.259240465	114304.322134382	416820.635079883	231856.34372237	216592.446446843	150611.635313403	388579.401645343	346718.90414247	435407.731121712	116608.579087284	26986.3859384748	144895.635550031	162024.121777132	144665.634427791
6	12970.1303506249	367079.403919049	514241.42631472	281558.565050537	228171.164854858	116924.303931705	406659.336015746	231051.845652549	216592.446446843	148759.19274003	388786.423169928	346926.769192915	435614.575649561	116649.152705616	26976.2711011665	144895.635550031	162088.366076013	144665.634427791
