[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:20:51
Order : 38
Analyse step ID : 13134

[SAMPLE]
Sample Name : T23-1-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
0	13048.5179352637	352445.009078422	486312.163522972	272554.531423164	217943.641990499	107480.183499493	411221.551922093	229201.500091961	214418.470218567	149081.356665834	385888.121825743	341522.277881342	428168.172647005	115959.401193966	27249.3717084899	143198.586834721	160096.792810711	142930.418021949
1	13060.5775636697	352445.009078422	486067.169989711	272676.207553264	217943.641990499	107541.113308733	411428.925372382	229281.949898944	214498.987856651	149081.356665834	385888.121825743	341730.142931787	428375.017174853	115999.974812298	27249.3717084899	143279.398678307	160161.037109592	142930.418021949
2	13060.5775636697	352445.009078422	486067.169989711	272676.207553264	217943.641990499	107419.253690253	411636.29882267	229201.500091961	214498.987856651	149081.356665834	386095.143350328	341938.007982232	428581.861702702	116040.548430631	27249.3717084899	143360.210521894	160161.037109592	142930.418021949
3	13060.5775636697	353908.448562485	497091.878986454	273041.235943563	220744.03515574	109917.375869096	411843.672272959	229281.949898944	214498.987856651	149000.815684383	386302.164874912	342145.873032677	428788.706230551	116081.122048963	27279.7162204148	143441.02236548	160161.037109592	142930.418021949
4	13090.7266346846	362445.178886184	517426.342247112	278151.633407747	228414.677304009	115218.269272983	412051.045723247	229281.949898944	214579.505494735	149000.815684383	386302.164874912	342145.873032677	428788.706230551	116121.695667295	27279.7162204148	143441.02236548	160161.037109592	142994.685296239
5	13108.8160772936	372689.255274622	527471.077110811	285817.229604024	233650.194960764	119239.636682828	408733.070518631	229121.050284979	214579.505494735	148598.110777128	386509.186399497	342353.738083122	428995.5507584	116162.269285628	27289.831057723	143441.02236548	160161.037109592	142930.418021949
6	13120.8757056995	380494.26585629	533105.928375812	291170.979328407	236572.344350581	122042.407907871	389862.086542378	226868.455689481	214337.952580482	144490.520723126	386509.186399497	342353.738083122	429409.239814097	116162.269285628	27320.1755696479	143521.834209066	160161.037109592	142930.418021949
