	LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	Groups	Entity/Descriptor
H3-1	-0.01	-0.05	-0.04	-0.05	-0.05	-0.09	0.43	0.50	0.32	0.40	0.22	0.46	0.50	0.25	0.31	0.28	0.17	0.19	H3-	0
H3-2	-0.01	-0.05	-0.04	-0.05	-0.05	-0.09	0.44	0.50	0.32	0.41	0.22	0.47	0.51	0.26	0.32	0.29	0.18	0.19	H3-	0
H3-3	-0.01	-0.06	-0.05	-0.05	-0.05	-0.10	0.45	0.51	0.33	0.41	0.23	0.47	0.52	0.26	0.33	0.29	0.18	0.19	H3-	0
H5-1	-0.01	-0.08	-0.06	-0.07	-0.06	-0.15	0.59	0.64	0.42	0.55	0.33	0.62	0.61	0.33	0.44	0.37	0.25	0.27	H5-	0
H5-2	-0.01	-0.08	-0.06	-0.07	-0.06	-0.15	0.59	0.65	0.42	0.55	0.33	0.62	0.62	0.34	0.45	0.38	0.25	0.28	H5-	0
H5-3	-0.01	-0.08	-0.06	-0.07	-0.06	-0.15	0.60	0.65	0.43	0.55	0.34	0.63	0.62	0.34	0.46	0.38	0.26	0.28	H5-	0
H6-1-1	-0.01	-0.07	-0.05	-0.06	-0.06	-0.12	0.51	0.58	0.38	0.48	0.27	0.54	0.57	0.29	0.38	0.33	0.22	0.24	H6-	0
H6-1-2	-0.01	-0.07	-0.06	-0.06	-0.06	-0.13	0.53	0.59	0.38	0.49	0.28	0.56	0.58	0.30	0.40	0.34	0.22	0.25	H6-	0
H6-1-3	-0.01	-0.07	-0.06	-0.06	-0.06	-0.13	0.52	0.59	0.38	0.49	0.28	0.55	0.57	0.30	0.40	0.34	0.23	0.25	H6-	0
H7-1	-0.01	-0.06	-0.05	-0.06	-0.06	-0.12	0.49	0.55	0.37	0.45	0.25	0.52	0.55	0.29	0.39	0.32	0.19	0.20	H7-	0
H7-2	-0.01	-0.07	-0.05	-0.06	-0.06	-0.12	0.48	0.54	0.36	0.44	0.25	0.51	0.54	0.28	0.38	0.32	0.19	0.20	H7-	0
H7-3	-0.01	-0.07	-0.05	-0.06	-0.06	-0.12	0.49	0.55	0.37	0.45	0.26	0.52	0.55	0.29	0.39	0.33	0.20	0.22	H7-	0
H8-1	-0.01	-0.06	-0.05	-0.06	-0.06	-0.11	0.48	0.53	0.35	0.44	0.25	0.50	0.53	0.28	0.36	0.31	0.20	0.22	H8-	0
H8-2	-0.01	-0.06	-0.05	-0.06	-0.06	-0.11	0.48	0.54	0.36	0.45	0.25	0.51	0.53	0.28	0.37	0.31	0.21	0.23	H8-	0
